raw_name,n_records,cluster_id,canonical_name,cluster_size,min_internal_score,chain_risk,violates_decision
A&E Coffee & Tea,3,12,A&E Coffee & Tea,4,60.0,True,False
A&E Roastery,3,12,A&E Coffee & Tea,4,60.0,True,False
A&E Custom Coffee Roasters,1,12,A&E Coffee & Tea,4,60.0,True,False
A&E Custom Coffee Roastery,1,12,A&E Coffee & Tea,4,60.0,True,False
Illy Espresso,2,667,Illy Espresso,4,100.0,False,False
Illy,1,667,Illy Espresso,4,100.0,False,False
Illy Caffe,1,667,Illy Espresso,4,100.0,False,False
Illy Caffè,1,667,Illy Espresso,4,100.0,False,False
Millstone Coffee,4,917,Millstone Coffee,4,100.0,False,False
Millstone,1,917,Millstone Coffee,4,100.0,False,False
Millstone Coffee Company,1,917,Millstone Coffee,4,100.0,False,False
Millstone Coffees,1,917,Millstone Coffee,4,100.0,False,False
Nescafé,5,977,Nescafé,4,47.1,True,False
Nestle USA,2,977,Nescafé,4,47.1,True,False
Nescafe,1,977,Nescafé,4,47.1,True,False
Nescafé (Nestle USA),1,977,Nescafé,4,47.1,True,False
Alpen Sierra Coffee Roasters,5,31,Alpen Sierra Coffee Roasters,3,100.0,False,False
Alpen Sierra Coffee,4,31,Alpen Sierra Coffee Roasters,3,100.0,False,False
Alpen Sierra,2,31,Alpen Sierra Coffee Roasters,3,100.0,False,False
Cafe Del Mundo,2,184,Cafe Del Mundo,3,100.0,False,False
Café Del Mundo,2,184,Cafe Del Mundo,3,100.0,False,False
Café del Mundo,2,184,Cafe Del Mundo,3,100.0,False,False
Cafe Valverde,2,201,Cafe Valverde Coffee Roasters,3,100.0,False,False
Cafe Valverde Coffee Roasters,2,201,Cafe Valverde Coffee Roasters,3,100.0,False,False
Valverde Coffee Roasters,1,201,Cafe Valverde Coffee Roasters,3,100.0,False,False
Equator Coffees & Teas,26,470,Equator Coffees & Teas,3,100.0,False,False
Equator Estate Coffees & Teas,8,470,Equator Coffees & Teas,3,100.0,False,False
Equator Coffees and Teas,1,470,Equator Coffees & Teas,3,100.0,False,False
India Mysore Plantation A,2,679,India Mysore Plantation A,3,100.0,False,False
India Mysore,1,679,India Mysore Plantation A,3,100.0,False,False
India Mysore Plantation A.,1,679,India Mysore Plantation A,3,100.0,False,False
Counter Culture Coffee,46,806,Counter Culture Coffee,3,100.0,False,False
Counter Culture Coffee Roasters,3,806,Counter Culture Coffee,3,100.0,False,False
La Golondrina by Counter Culture Coffee,1,806,Counter Culture Coffee,3,100.0,False,False
Las Chicas Del Café,5,818,Las Chicas Del Café,3,100.0,False,False
Las Chicas Del Cafe,1,818,Las Chicas Del Café,3,100.0,False,False
Las Chicas del Cafe,1,818,Las Chicas Del Café,3,100.0,False,False
Martinez Fine Coffees,6,887,Martinez Fine Coffees,3,88.9,True,False
J. Martinez & Co.,1,887,Martinez Fine Coffees,3,88.9,True,False
J. Martinez & Company,1,887,Martinez Fine Coffees,3,88.9,True,False
Olympia Coffee Roasting,21,1021,Olympia Coffee Roasting,3,100.0,False,False
Olympia Coffee,3,1021,Olympia Coffee Roasting,3,100.0,False,False
Olympia Coffee Roasting Co.,3,1021,Olympia Coffee Roasting,3,100.0,False,False
PT's Coffee Roasting Co.,132,1043,PT's Coffee Roasting Co.,3,100.0,False,False
PT's Coffee Roasting,8,1043,PT's Coffee Roasting Co.,3,100.0,False,False
PT’s Coffee Roasting Co.,1,1043,PT's Coffee Roasting Co.,3,100.0,False,False
Peet's Coffee & Tea,22,1071,Peet's Coffee & Tea,3,100.0,False,False
Peet's Coffee and Tea,2,1071,Peet's Coffee & Tea,3,100.0,False,False
Peet's Coffee & Tea (Costco),1,1071,Peet's Coffee & Tea,3,100.0,False,False
Red Rooster Coffee Roaster,113,1126,Red Rooster Coffee Roaster,3,100.0,False,False
RND & Red Rooster Coffee Roaster,1,1126,Red Rooster Coffee Roaster,3,100.0,False,False
Red Rooster Coffee Roasters,1,1126,Red Rooster Coffee Roaster,3,100.0,False,False
Roadmap CoffeeWorks,61,1160,Roadmap CoffeeWorks,3,100.0,False,False
Roadmap Coffeeworks,2,1160,Roadmap CoffeeWorks,3,100.0,False,False
RoadMap CoffeeWorks,1,1160,Roadmap CoffeeWorks,3,100.0,False,False
Simon Hsieh's Aroma Roast Coffees,50,1245,Simon Hsieh's Aroma Roast Coffees,3,97.9,False,False
Simon Hsieh Aroma Roast Coffees,20,1245,Simon Hsieh's Aroma Roast Coffees,3,97.9,False,False
Simon Hsieh’s Aroma Roast Coffees,7,1245,Simon Hsieh's Aroma Roast Coffees,3,97.9,False,False
Temple Coffee and Tea,104,1335,Temple Coffee and Tea,3,100.0,False,False
Temple Coffee Roasters,42,1335,Temple Coffee and Tea,3,100.0,False,False
Temple Coffee,39,1335,Temple Coffee and Tea,3,100.0,False,False
Tony's Coffees & Teas,10,1376,Tony's Coffees & Teas,3,100.0,False,False
Tony's Coffees and Teas,3,1376,Tony's Coffees & Teas,3,100.0,False,False
Tony's Coffee,2,1376,Tony's Coffees & Teas,3,100.0,False,False
Topeca Coffee Roasters,24,1377,Topeca Coffee Roasters,3,100.0,False,False
Topeca Coffee,2,1377,Topeca Coffee Roasters,3,100.0,False,False
Topéca Coffee Roasters,1,1377,Topeca Coffee Roasters,3,100.0,False,False
Torreo Coffee,5,1382,Torreo Coffee,3,100.0,False,False
Torreo Coffee Roasters,4,1382,Torreo Coffee,3,100.0,False,False
Torreo Coffee and Tea,2,1382,Torreo Coffee,3,100.0,False,False
1980 CAFE,38,1,1980 CAFE,2,100.0,False,False
1980 Cafe,3,1,1980 CAFE,2,100.0,False,False
49th Parallel Coffee Roasters,7,6,49th Parallel Coffee Roasters,2,100.0,False,False
49th Parallel Roasters,1,6,49th Parallel Coffee Roasters,2,100.0,False,False
Alaska Coffee Roasting Company,3,25,Alaska Coffee Roasting Company,2,100.0,False,False
Alaska Coffee Roasting,2,25,Alaska Coffee Roasting Company,2,100.0,False,False
Allegro Coffee,35,30,Allegro Coffee,2,100.0,False,False
