name_a,name_b,core_a,core_b,score,location_a,location_b,location_evidence,verdict
Martinez Fine Coffees,J. Martinez & Co.,fine martinez,j martinez,88.9,"Atlanta, Georgia","Atlanta, Georgia",same,
Boyd Coffee,Boyds Coffee,boyd,boyds,88.9,"Portland, Oregon","Portland, Oregon",same,
Street Bean,Z Street Coffee,street,street z,85.7,"Seattle, Washington","Auburn, Washington",neutral,
Cafe Est,Rest Coffee Roasters,est,rest,85.7,"New Taipei City, Taiwan","Banqiao, New Taipei City, Taiwan",neutral,
Jim's Burger Cafe,Q Burger,burger jims,burger q,85.7,"Taipei City, Taiwan","New Taipei City, Taiwan",neutral,
"Shanghai Carmo Trading Co., LTD","Shanghai Creation Trading Co, Ltd.",carmo shanghai trading,creation shanghai trading,85.1,,"Shanghai, China",unknown,
India Balanoor Plantations,India Devon Plantations,balanoor india plantations,devon india plantations,85.0,,,unknown,
Nantou Specialty,Satur Specialty Coffee,nantou specialty,satur specialty,83.9,"Taipei City, Taiwan","Tainan City, Taiwan",neutral,
Bicycle Coffee,Coffee Cycle Roasting,bicycle,cycle,83.3,"Oakland, California","San Diego, California",neutral,
India Pearl Mountain Estate,Jesus Mountain Estate,estate india mountain pearl,estate jesus mountain,83.3,,"Stockton, California",unknown,
Fellow Coffee,Mellow Coffee,fellow,mellow,83.3,"Taipei, Taiwan","New Taipei, Taiwan",neutral,
Wei Chuan Foods Corporation,Tehmag Foods Corporation,chuan corporation foods wei,corporation foods tehmag,82.9,"New Taipei City, Taiwan; Taipei, Taiwan","New Taipei City, Taiwan",same,
Boca Java Gourmet Coffee & Tea,Java D'oro Gourmet Coffee,boca gourmet java tea,doro gourmet java,82.8,"Jacksonville, Florida","Cape Coral, Florida",neutral,
Café Capricho,Capricorn Coffee,capricho,capricorn,82.4,,"San Francisco, California",unknown,
Brocade Specialty Coffee,Volcafe Specialty Coffee,brocade specialty,specialty volcafe,82.4,"Taipei, Taiwan",,unknown,
Volcafe Specialty Coffee,Voyager Specialty Coffee,specialty volcafe,specialty voyager,82.4,,"Norfolk, Virginia",unknown,
Great Value (Wal-Mart),Great Value (Walmart),great mart value wal,great value walmart,82.1,"Bentonville, Arkansas","Bentonville, Arkansas",same,
