rating,roaster,title,blind_assessment,notes,bottom_line,roaster location,coffee origin,roast level,agtron,est. price,review date,aroma,acidity,body,flavor,aftertaste,url,with milk,acidity/structure
91,Roast House,Guatemalan Batzchocola,"Lushly pungent, plummy. Dark chocolate, plum, cedar, night-blooming flowers in aroma and cup. Round, resonant acidity; smooth, silky mouthfeel. Richly sweet though drying finish.","Batzchocola is one of four coffee-producing communities of mainly indigenous farmers that make up the Ixil A’achimbal association. The Batzchocola coffee is fermented without water for around twenty hours in wooden boxes covered with banana leaves, washed, and sun-dried on tables and tarps, a local variation on orthodox wet-processing, and one that seems to have a complex and positive impact on cup character. Roast House is a small-batch roaster based in Spokane Washington that considers relationships to be the most important aspect of great coffee, extending from farmers to the neighborhood barista. Visit www.organicroasthouse.com or call 509-996-6500 for more information.",,"Spokane, Washington","El Quiche Department, south central Guatemala",Medium-Light,52/70,$14.00/16 ounces,September 2013,9,8,8,9,7,https://www.coffeereview.com/review/guatemalan-batzchocola/,,
87,Apres Coffee,Melange Francais,"Crisply roasty in the aroma: gently scorched cedar, cardamom, with a softening hint of semi-sweet chocolate. In the cup lean but silky mouthfeel and a simple but properly robust impression of scorched cedar, spicy nut and a suggestion of dark chocolate. Finishes on the impressively rich side of astringent with good flavor persistence.","Melange Francais translates as French blend, apparently referencing the extreme dark-roasted coffees of northern France. Apres is a seller of gourmet teas, coffee and chocolate presented in impressively distinctive packaging at reasonable prices. Visit www.aprescafe.com or call 877-777-3451 for more information. Visit www.aprescafe.com or call 877-777-3451 for more information.",,"Lancaster, Pennsylvania",Not disclosed.,Very Dark,18/24,,November 2007,7,,7,7,8,https://www.coffeereview.com/review/melange-francais/,,
90,Barefoot Coffee Roasters,Sweetness! Espresso (Fair Trade/Organic),"In the aroma distinct semi-sweet chocolate notes and cherryish or raisiny fruit with a lush twist of ferment. Crisp cedar and toast notes complicate the cherry-toned chocolate in the small cup. The fruity chocolate persists in the splendid short finish, though a shadow astringency barely implied in the cup eventually dominates in the long. In milk a slightly lean body is more than made up for by crisp toasted rice notes and a voluptuous, milk-softened version of the fruity-fermented chocolate.","The components of this blend are organically grown and certified Fair Trade, meaning they were purchased from small-holding farmers at a ""fair"" or economically sustainable price. Barefoot Coffee Roasters is an award-winning and widely recognized small-batch roasting company who describes itself as ""a happy little cafe and roastery in the heart of Silicon Valley."" Visit www.barefootcoffeeroasters.com for more information.",,"Santa Clara, California","Ethiopia, Mexico",Medium,52/66,,May 2006,9,,7,8,7,https://www.coffeereview.com/review/sweetness-espresso-fair-tradeorganic/,9,
92,Lexington Coffee Roasters,Kenya Gachombe,"Richly pungent. Black currant, fresh-cut cedar, plum, dark chocolate and a hint of night-blooming flowers in aroma and cup. Crisp, dry acidity; lightly syrupy mouthfeel. Cedar and black currant in particular carry into a sweet though drying finish.","Gachombe is a cooperative of coffee farmers in the Nakura and Baringo region of Kenya’s rift valley. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world's most elegant and distinctive coffees. Founded in 1990, Lexington Coffee is an award-winning artisan roasting company based in Virginia. Lexington’s focus on fresh, flavorful and sustainable coffee is reflected in its motto, “Fresh, Flavorful & Fair.” Visit www.lexingtoncoffee.com or call 800-322-6505 for more information.",,"Lexington, Virginia","Baringo and Nakura Counties, central Kenya.",Medium,48/62,$18.95/12 ounces,October 2013,9,8,8,9,8,https://www.coffeereview.com/review/kenya-gachombe/,,
92,Kona Love Coffee Co.,Kona Medium Roast,"Richly sweet, deep-toned. Baking chocolate, hazelnut, date, magnolia, cedar in aroma and cup. Sweet in structure with brisk acidity; satiny mouthfeel. Chocolate-toned finish with undertones of hazelnut and cedar.","Kona Coffee Love Co. offers roasted coffees grown at Boranian Farms. Though not certified organic, Boranian actively cultivates its crops with regenerative agriculture methods like cover-cropping, growing nitrogen-fixing trees to coppice and mulch, making and implementing Korean natural farming solutions, using permaculture energy solutions, cooking compost, etc. Visit www.konalovecoffee.com for more information.","A rich, chocolaty Kona cup with floral and nut tones, roasted to a darkish medium.","Holualoa, Hawaii","Holualoa, North Kona, Big Island of Hawai’i",Medium-Light,52/70,$35.00/12 ounces,October 2021,9,,8,9,8,https://www.coffeereview.com/review/kona-medium-roast/,,8
92,Temple Coffee Roasters,Dharma Espresso Blend,"Evaluated as espresso. Dark chocolate, magnolia, cedar, black cherry, lemon zest in aroma and small cup. Delicate, satiny mouthfeel; chocolaty, floral finish supported by aromatic wood notes. The milk shot is chocolate- and flower-driven.","A blend comprised of a wet-processed coffee from Brazil Terra Matas de Minas, a dried-in-the-fruit or “natural”-processed Ethiopia Sidamo and a honey-processed Costa Rica Sonora Estate Red Catuai. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","A rich, deep espresso blend with a dark chocolate throughline; floral notes sing in three parts milk.","Sacramento, California",Brazil; Ethiopia; Costa Rica,Medium,44/70,$16.50/12 ounces,December 2020,8,,8,9,8,https://www.coffeereview.com/review/dharma-espresso-blend/,9,
84,Cafe Sunrise,Finca Buenos Aires Medium Roast,"In the aroma flat, rather woody, with low-toned fruit notes suggesting a sort of spicy banana. These odd but pleasant fruit notes persist in the rich though rather monotoned cup, which grows flatter and woodier as it cools. Medium body, clean, rich, rather pleasant finish.","Health angle: According to the bag copy, a patented ""Healthy Roast"" process retains ""100% of the antioxidants naturally occurring in the bean."" A patent search discloses that the ""Healthy Roast"" process involves soaking the green beans in a liquid which preserves antioxidant polyphenols that may be lost during roasting. This antioxidant-charged liquid is then used to cool or quench the same beans after roasting, presumably restoring the antioxidants in the liquid to the roasted coffee. A single-estate coffee grown, roasted and packaged in Honduras. Visit www.cafesunrise.com for more information.",,"Villanueva, Honduras",Honduras,Medium-Dark,42/53,,May 2005,6,6,7,7,7,https://www.coffeereview.com/review/finca-buenos-aires-medium-roast/,,
93,Paradise Roasters,Costa Rica Coffea Diversa Washed Geisha,"Delicately floral, spice-toned. Honeysuckle, apricot, bergamot, spearmint, cocoa nib in aroma and cup. Sweet structure with vibrant, elegant acidity; billowy, silky-smooth mouthfeel. Finish consolidates to cocoa-toned honeysuckle and bergamot.","Produced by Gonzalo Hernandez entirely of the celebrated Geisha variety of Arabica and processed by the washed method. Available as part of a Geisha sampler. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",A lovely Geisha grown in Costa Rica deftly roasted to highlight  bright fruit and sweet floral tones.,"Minneapolis, Minnesota","Biollet, Costa Rica",Medium-Light,54/72,$19.98/4 ounces,August 2020,9,,8,9,8,https://www.coffeereview.com/review/costa-rica-coffea-diversa-washed-geisha/,,9
93,Caribou Coffee,Kathakwa Kenya,"Deep, boldly pungent. Crisp black currant, lush night-blooming flowers, oak, a buttery hint of dark chocolate in aroma and cup. Rich acidity; lightly syrupy, lively mouthfeel. Dark chocolate and black currant in particular carry into a roundly resonant finish.","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world's most elegant and distinctive coffees. This Kenya is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. It is an offering in Caribou Coffee’s Roastmaster Reserve series of exceptional, seasonally available coffees. Caribou Coffee is a retail roasting chain based in the upper Middle West whose rather irreverent motto ""Life is short. Stay awake for it"" belies a serious approach to coffee. Visit www.cariboucoffee.com or call 888-227-4268 for more information.",,"Minneapolis, Minnesota",Central Kenya.,Medium,52/66,$16.99/16 ounces,August 2014,9,8,9,9,8,https://www.coffeereview.com/review/kathakwa-kenya/,,
92,Victrola Coffee Roasters,Kenya Thika Chania Estate Natural Process,"Rich, brandy-like fruit dominates the profile: cherry, blueberry, cocoaish dark chocolate in aroma and cup. Round, fruit-influenced acidity; syrupy mouthfeel. Flavor carries richly into the finish, where a very slight over-ripe note emerges as the cup cools.","""Natural"" process means the beans were dried inside the fruit rather than after removal of the fruit. This coffee consists entirely of the heirloom “French Missionary” Bourbon variety trees grown by the Harries family on the Chania Estate. Victrola is a small-batch, hands-on roaster with a passionate commitment to quality and distinctiveness. Visit www.victrolacoffee.com or call 206-624-1725 for more information.",,"Seattle, Washington","Thika growing region, central Kenya.",Medium,46/63,$15.50/8 ounces,September 2011,9,8,9,9,7,https://www.coffeereview.com/review/kenya-thika-chania-estate-natural-process/,,
88,Wood-Fire Roasted Coffee,Sumatra Mandheling,"Intense aroma in a narrow range: pungent rosemary-like herb notes, an orangy citrus, and some slightly charred wood notes. In the cup lean-bodied but forceful, dominated by a grapefruity pungency with a slight charred edge that with imagination reads as a semi-sweet chocolate. The chocolate is explicit, however, in the impressively sweet, long finish.","Mandheling is the traditional market name for an admired coffee type grown in the region around Lake Toba in north-central Sumatra. These coffees are marked by low acidity and idiosyncratic flavor notes that appear to result from serendipitous taints - mild ferment and mildew - acquired during unconventional drying procedures. The Wood-Fire Roasted Coffee Company roasts, of course, on a machine that uses oak wood as a heat source, which means its coffees are slow roasted, an approach that tends to reduce the sharper kinds of acidity. Visit www.woodfireroasted.com or call 775-865-2033 for more information.",,"Reno, Nevada","Mandheling growing region, northern Sumatra, Indonesia.",Medium-Dark,36/46,,May 2007,7,,7,8,8,https://www.coffeereview.com/review/sumatra-mandheling-18/,,
93,Chocolate Fish Coffee Roasters,Guatemala El Retiro del Quisaya,"Delicately sweet and balanced with a subtle hint of fermented fruit. Peach, sweet chocolate, sandalwood, honeysuckle, almond in aroma and cup. Gently and sweetly bright in structure; light yet satiny in mouthfeel. Quiet but resonantly long finish: peach, chocolate, almond.","Produced by Juan Luis Barrios Ortega from trees of the Bourbon-derived Pache variety of Arabica. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Chocolate Fish is a distinguished New-Zealand-inspired micro-roaster based in Sacramento California, focused on the best in both quality and integrity.Visit www.chocolatefishcoffee.com or call 916-451-5181 for more information.","Delicate and graceful, yet authoritative in character; seductively sweet.","Sacramento, California","San Martin Jilotepeque, Chimaltenango Department, Guatemala",Light,71/99,$19.00/12 ounces,November 2017,9,,8,9,9,https://www.coffeereview.com/review/guatemala-el-retiro-del-quisaya/,,8
84,Café Mystique Coffee,Mexican Mid/Light Roast,"Light, dryly fruity, complicated by pleasant cocoa tones. Simple, ingenuous, agreeable. Not sweet, but stays on the gentle side of bitter.","Light, dryly fruity, complicated by pleasant cocoa tones. Simple, ingenuous, agreeable. Not sweet, but stays on the gentle side of bitter. From one of the earliest cooperatives to market an organic coffee in North America. Now Fair-Trade Certified as well. As the French label copy has it, this coffee is ""Biologique, Polycultive Ecologique."" Café Mystique is a small-batch roaster specializing",,"Montreal, Quebec, Canada",,NA,/,,September 2000,7,6,6,7,,https://www.coffeereview.com/review/mexican-midlight-roast/,,
