name_a,name_b,verdict,decided_by,decided_on,note
Bicycle Coffee,Coffee Cycle Roasting,split,Tyler,2026-09-19,
Boca Java Gourmet Coffee & Tea,Java D'oro Gourmet Coffee,split,Tyler,2026-09-19,
Boyd Coffee,Boyds Coffee,merge,Tyler,2026-09-19,
Brocade Specialty Coffee,Volcafe Specialty Coffee,split,Tyler,2026-09-19,
Cafe Est,Rest Coffee Roasters,split,Tyler,2026-09-19,
Café Capricho,Capricorn Coffee,split,Tyler,2026-09-19,
Fellow Coffee,Mellow Coffee,split,Tyler,2026-09-19,
Great Value (Wal-Mart),Great Value (Walmart),merge,Tyler,2026-09-19,
India Balanoor Plantations,India Devon Plantations,split,Tyler,2026-09-19,
India Pearl Mountain Estate,Jesus Mountain Estate,split,Tyler,2026-09-19,
Jim's Burger Cafe,Q Burger,split,Tyler,2026-09-19,
Martinez Fine Coffees,J. Martinez & Co.,merge,Tyler,2026-09-19,
Nantou Specialty,Satur Specialty Coffee,split,Tyler,2026-09-19,
"Shanghai Carmo Trading Co., LTD","Shanghai Creation Trading Co, Ltd.",split,Tyler,2026-09-19,
Street Bean,Z Street Coffee,split,Tyler,2026-09-19,
Volcafe Specialty Coffee,Voyager Specialty Coffee,split,Tyler,2026-09-19,
Wei Chuan Foods Corporation,Tehmag Foods Corporation,split,Tyler,2026-09-19,
RND,RND & Red Rooster Coffee Roaster,split,Tyler,2026-09-19,
